DATE,GEAR, SPECIES,TL_MM,FL_MM,WEIGHT_G,WEIGHT_SOURCE,SAMPLED_FOR_DIET,FISH_ID,NOTES
6/13/2014,SEINE,SUC,31,28,,,N,,
6/13/2014,SEINE,SUC,26,24,,,N,,
6/13/2014,HOOP,HBC,98,90,7.3,FIELD,N,,
6/13/2014,HOOP,HBC,97,88,6.5,FIELD,N,,
6/13/2014,HOOP,HBC,44,39,0.6,FIELD,N,,
6/13/2014,HOOP,HBC,47,43,,,N,,
6/13/2014,HOOP,HBC,51,46,0.9,FIELD,N,,
6/13/2014,HOOP,HBC,51,46,0.8,FIELD,N,,
6/13/2014,HOOP,HBC,44,38,0.6,FIELD,N,,
6/13/2014,SEINE,SUC,39,37,,,N,,
6/13/2014,SEINE,SUC,33,31,,,N,,
6/13/2014,SEINE,SUC,38,35,,,N,,
6/13/2014,SEINE,SUC,36,35,,,N,,
6/13/2014,SEINE,SUC,36,35,,,N,,
6/13/2014,SEINE,SUC,38,35,0.8,FIELD,N,,
6/13/2014,SEINE,SUC,39,36,0.6,FIELD,N,,
6/13/2014,SEINE,SUC,35,31,0.6,FIELD,N,,
6/14/2014,SEINE,FMS,55,52,1.4,FIELD,Y,FMS.6.14,
6/13/2014,SEINE,SPD,51,47,1.3,FIELD,Y,SPD.6.12,
6/13/2014,SEINE,SUC,36,33,0.2,FIELD,N,,
6/15/2014,SEINE,FMS,45,42,0.6,FIELD,Y,FMS.6.15,
6/13/2014,SEINE,SUC,34,31,,,N,,
6/13/2014,SEINE,SUC,37,34,,,N,,
6/13/2014,SEINE,FMS,50,47,0.9,FIELD,Y,FMS.6.06,
6/13/2014,SEINE,SUC,38,35,,,N,,
6/13/2014,SEINE,SUC,37,34,,,N,,
6/13/2014,SEINE,SUC,34,31,,,N,,
6/13/2014,SEINE,SUC,36,33,,,N,,
6/13/2014,SEINE,SUC,36,33,,,N,,
6/13/2014,SEINE,SUC,38,36,,,N,,
6/12/2014,HOOP,FMS,42,39,0.5,FIELD,Y,FMS.6.02,
6/13/2014,SEINE,SUC,35,33,,,N,,
6/13/2014,SEINE,SUC,33,30,,,N,,
6/13/2014,SEINE,SUC,33,30,,,N,,
6/13/2014,SEINE,SUC,30,27,,,N,,
6/13/2014,SEINE,SUC,40,37,,,N,,
6/13/2014,SEINE,SUC,39,36,0.5,FIELD,N,,
6/13/2014,SEINE,SUC,35,32,,,N,,
6/13/2014,SEINE,SUC,32,30,,,N,,
6/13/2014,SEINE,SUC,38,36,,,N,,
6/13/2014,SEINE,SUC,35,32,,,N,,
6/13/2014,SEINE,SUC,32,29,,,N,,
6/13/2014,SEINE,SUC,32,29,0.5,FIELD,N,,
6/13/2014,SEINE,SUC,33,30,,,N,,
6/13/2014,SEINE,SUC,32,29,0.3,FIELD,N,,
6/13/2014,SEINE,SUC,29,27,,,N,,
6/12/2014,HOOP,FMS,308,290,236,FIELD,Y,FMS.6.03,
6/12/2014,HOOP,FMS,292,276,211.9,FIELD,Y,FMS.6.04,
6/13/2014,HOOP,FMS,165,157,31.9,FIELD,Y,FMS.6.05,
6/13/2014,HOOP,HBC,48,42,0.8,FIELD,N,,
6/13/2014,HOOP,HBC,50,44,0.6,FIELD,N,,
6/13/2014,HOOP,HBC,52,47,,,N,,
6/13/2014,HOOP,FMS,52,47,1.1,FIELD,Y,FMS.6.07,
6/13/2014,HOOP,HBC,45,39,,,N,,
6/13/2014,HOOP,HBC,317,282,231.9,FIELD,Y,HBC.6.50,
6/13/2014,HOOP,HBC,50,45,,,N,,
6/13/2014,HOOP,HBC,41,36,,,N,,
6/13/2014,HOOP,HBC,46,40,,,N,,
6/13/2014,HOOP,HBC,47,41,,,N,,
6/13/2014,HOOP,HBC,47,42,,,N,,
6/13/2014,HOOP,FMS,175,166,42.3,FIELD,Y,FMS.6.08,
6/14/2014,SEINE,FMS,46,40,0.7,FIELD,Y,FMS.6.09,
6/13/2014,HOOP,SUC,44,40,,,N,,
6/13/2014,HOOP,HBC,46,41,,,N,,
6/13/2014,HOOP,HBC,46,41,,,N,,
6/14/2014,HOOP,HBC,320,274,237.8,FIELD,Y,HBC.6.00,
6/12/2014,HOOP,HBC,270,244,163.7,FIELD,Y,HBC.6.01,
6/12/2014,HOOP,HBC,45,39,0.6,FIELD,Y,HBC.6.10,
6/13/2014,HOOP,HBC,251,234,119.1,FIELD,Y,HBC.6.12,
6/13/2014,HOOP,HBC,210,189,74.3,FIELD,Y,HBC.6.14,
6/13/2014,HOOP,HBC,49,42,,,N,,
6/13/2014,HOOP,HBC,171,151,36,FIELD,Y,HBC.6.15,
6/13/2014,HOOP,HBC,115,100,11,FIELD,N,,
6/13/2014,HOOP,HBC,139,124,22.1,FIELD,Y,HBC.6.16,
6/13/2014,SEINE,SUC,29,27,,,N,,
6/13/2014,HOOP,HBC,166,145,31.8,FIELD,Y,HBC.6.17,
6/13/2014,SEINE,SUC,43,40,,,N,,
6/13/2014,SEINE,SUC,45,43,,,N,,
6/13/2014,HOOP,HBC,138,124,20,FIELD,Y,HBC.6.18,
6/13/2014,SEINE,SUC,43,40,,,N,,
6/13/2014,SEINE,SUC,30,29,,,N,,
6/13/2014,SEINE,HBC,48,42,,,N,,
6/13/2014,SEINE,SUC,38,36,,,N,,
6/13/2014,SEINE,SUC,38,40,,,N,,
6/13/2014,SEINE,SUC,27,25,,,N,,
6/13/2014,SEINE,SUC,38,35,,,N,,
6/13/2014,SEINE,SUC,32,30,,,N,,
6/13/2014,SEINE,SUC,32,29,,,N,,
6/13/2014,SEINE,HBC,43,39,,,N,,
6/13/2014,SEINE,SUC,31,29,,,N,,
6/13/2014,SEINE,SUC,39,37,,,N,,
6/13/2014,SEINE,SUC,31,29,,,N,,
6/13/2014,SEINE,SUC,33,30,,,N,,
6/13/2014,SEINE,SUC,32,31,,,N,,
6/13/2014,SEINE,SUC,35,32,,,N,,
6/12/2014,HOOP,HBC,190,170,49,FIELD,Y,HBC.6.02,
6/13/2014,SEINE,SUC,27,25,,,N,,
6/13/2014,SEINE,SUC,33,31,,,N,,
6/13/2014,SEINE,SUC,33,30,,,N,,
6/13/2014,SEINE,SUC,30,28,,,N,,
6/13/2014,SEINE,SUC,34,31,,,N,,
6/13/2014,SEINE,SUC,29,28,,,N,,
6/13/2014,SEINE,SUC,30,27,,,N,,
6/13/2014,SEINE,SUC,27,25,,,N,,
6/13/2014,SEINE,SUC,25,23,,,N,,
6/13/2014,SEINE,SUC,47,44,,,N,,
6/13/2014,SEINE,SUC,27,25,,,N,,
6/13/2014,SEINE,SUC,22,20,,,N,,
6/13/2014,SEINE,SUC,35,33,,,N,,
6/13/2014,SEINE,SUC,25,21,,,N,,
6/13/2014,SEINE,SUC,29,27,,,N,,
6/13/2014,SEINE,SUC,40,38,,,N,,
6/13/2014,SEINE,SUC,34,32,,,N,,
6/13/2014,SEINE,SUC,20,19,,,N,,
6/13/2014,SEINE,SUC,24,22,,,N,,
6/13/2014,SEINE,SUC,28,26,,,N,,
6/13/2014,SEINE,SUC,24,22,,,N,,
6/13/2014,SEINE,SUC,21,19,,,N,,
